road_id,phase_id,cycle_num,start_time,end_time
A0003,A2,21,2024-06-18 17:18:12,2024-06-18 17:19:53
A0003,A2,22,2024-06-18 17:20:22,2024-06-18 17:22:03
A0003,A2,23,2024-06-18 17:22:32,2024-06-18 17:24:13
A0003,A2,24,2024-06-18 17:24:42,2024-06-18 17:26:23
A0003,A2,25,2024-06-18 17:26:52,2024-06-18 17:28:33
A0003,B1,1,2024-06-18 16:33:28,2024-06-18 16:34:52
A0003,B1,2,2024-06-18 16:35:38,2024-06-18 16:37:02
A0003,B1,3,2024-06-18 16:37:48,2024-06-18 16:39:12
A0003,B1,4,2024-06-18 16:39:58,2024-06-18 16:41:22
A0003,B1,5,2024-06-18 16:42:08,2024-06-18 16:43:32
A0003,B1,6,2024-06-18 16:44:18,2024-06-18 16:45:42
A0003,B1,7,2024-06-18 16:46:28,2024-06-18 16:47:52
A0003,B1,8,2024-06-18 16:48:38,2024-06-18 16:50:02
A0003,B1,9,2024-06-18 16:50:48,2024-06-18 16:52:12
A0003,B1,10,2024-06-18 16:52:58,2024-06-18 16:54:22
A0003,B1,11,2024-06-18 16:55:08,2024-06-18 16:56:32
A0003,B1,12,2024-06-18 16:57:18,2024-06-18 16:58:42
A0003,B1,13,2024-06-18 16:59:28,2024-06-18 17:00:52
A0003,B1,14,2024-06-18 17:01:38,2024-06-18 17:03:02
A0003,B1,15,2024-06-18 17:03:48,2024-06-18 17:05:12
A0003,B1,16,2024-06-18 17:05:58,2024-06-18 17:07:22
A0003,B1,17,2024-06-18 17:08:08,2024-06-18 17:09:32
A0003,B1,18,2024-06-18 17:10:18,2024-06-18 17:11:42
A0003,B1,19,2024-06-18 17:12:28,2024-06-18 17:13:52
A0003,B1,20,2024-06-18 17:14:38,2024-06-18 17:16:01
A0003,B1,21,2024-06-18 17:16:48,2024-06-18 17:18:11
A0003,B1,22,2024-06-18 17:18:58,2024-06-18 17:20:21
A0003,B1,23,2024-06-18 17:21:08,2024-06-18 17:22:31
A0003,B1,24,2024-06-18 17:23:18,2024-06-18 17:24:41
A0003,B1,25,2024-06-18 17:25:28,2024-06-18 17:26:51
A0003,B2,1,2024-06-18 16:33:57,2024-06-18 16:35:38
A0003,B2,2,2024-06-18 16:36:07,2024-06-18 16:37:48
A0003,B2,3,2024-06-18 16:38:17,2024-06-18 16:39:58
A0003,B2,4,2024-06-18 16:40:27,2024-06-18 16:42:08
A0003,B2,5,2024-06-18 16:42:37,2024-06-18 16:44:18
A0003,B2,6,2024-06-18 16:44:47,2024-06-18 16:46:28
A0003,B2,7,2024-06-18 16:46:57,2024-06-18 16:48:38
A0003,B2,8,2024-06-18 16:49:07,2024-06-18 16:50:48
A0003,B2,9,2024-06-18 16:51:17,2024-06-18 16:52:58
A0003,B2,10,2024-06-18 16:53:27,2024-06-18 16:55:08
A0003,B2,11,2024-06-18 16:55:37,2024-06-18 16:57:18
A0003,B2,12,2024-06-18 16:57:47,2024-06-18 16:59:28
A0003,B2,13,2024-06-18 16:59:57,2024-06-18 17:01:38
A0003,B2,14,2024-06-18 17:02:07,2024-06-18 17:03:48
A0003,B2,15,2024-06-18 17:04:17,2024-06-18 17:05:58
A0003,B2,16,2024-06-18 17:06:27,2024-06-18 17:08:08
A0003,B2,17,2024-06-18 17:08:37,2024-06-18 17:10:18
A0003,B2,18,2024-06-18 17:10:47,2024-06-18 17:12:28
A0003,B2,19,2024-06-18 17:12:57,2024-06-18 17:14:38
A0003,B2,20,2024-06-18 17:15:07,2024-06-18 17:16:47
A0003,B2,21,2024-06-18 17:17:17,2024-06-18 17:18:57
A0003,B2,22,2024-06-18 17:19:27,2024-06-18 17:21:07
A0003,B2,23,2024-06-18 17:21:37,2024-06-18 17:23:17
A0003,B2,24,2024-06-18 17:23:47,2024-06-18 17:25:27
A0003,B2,25,2024-06-18 17:25:57,2024-06-18 17:27:37
A0008,A1,1,2024-06-18 16:31:49,2024-06-18 16:32:33
A0008,A1,2,2024-06-18 16:33:20,2024-06-18 16:34:05
A0008,A1,3,2024-06-18 16:34:51,2024-06-18 16:35:36
A0008,A1,4,2024-06-18 16:36:22,2024-06-18 16:37:06
A0008,A1,5,2024-06-18 16:37:53,2024-06-18 16:38:37
A0008,A1,6,2024-06-18 16:39:24,2024-06-18 16:40:08
A0008,A1,7,2024-06-18 16:40:55,2024-06-18 16:41:39
A0008,A1,8,2024-06-18 16:42:26,2024-06-18 16:43:10
A0008,A1,9,2024-06-18 16:43:57,2024-06-18 16:44:42
A0008,A1,10,2024-06-18 16:45:28,2024-06-18 16:46:12
A0008,A1,11,2024-06-18 16:46:59,2024-06-18 16:47:43
A0008,A1,12,2024-06-18 16:48:30,2024-06-18 16:49:14
A0008,A1,13,2024-06-18 16:50:01,2024-06-18 16:50:45
A0008,A1,14,2024-06-18 16:51:32,2024-06-18 16:52:16
A0008,A1,15,2024-06-18 16:53:03,2024-06-18 16:53:47
A0008,A1,16,2024-06-18 16:54:34,2024-06-18 16:55:18
A0008,A1,17,2024-06-18 16:56:05,2024-06-18 16:56:49
A0008,A1,18,2024-06-18 16:57:36,2024-06-18 16:58:20
A0008,A1,19,2024-06-18 16:59:07,2024-06-18 16:59:51
A0008,A1,20,2024-06-18 17:00:38,2024-06-18 17:01:22
A0008,A1,21,2024-06-18 17:02:09,2024-06-18 17:02:53
A0008,A1,22,2024-06-18 17:03:40,2024-06-18 17:04:24
A0008,A1,23,2024-06-18 17:05:11,2024-06-18 17:05:54
A0008,A1,24,2024-06-18 17:06:42,2024-06-18 17:07:26
A0008,A1,25,2024-06-18 17:08:13,2024-06-18 17:08:57
A0008,A1,26,2024-06-18 17:09:44,2024-06-18 17:10:28
A0008,A1,27,2024-06-18 17:11:15,2024-06-18 17:11:59
A0008,A1,28,2024-06-18 17:12:46,2024-06-18 17:13:30
A0008,A1,29,2024-06-18 17:14:17,2024-06-18 17:15:01
A0008,A1,30,2024-06-18 17:15:47,2024-06-18 17:16:32
A0008,A1,31,2024-06-18 17:17:19,2024-06-18 17:18:03
A0008,A1,32,2024-06-18 17:18:50,2024-06-18 17:19:34
A0008,A1,33,2024-06-18 17:20:20,2024-06-18 17:21:04
A0008,A1,34,2024-06-18 17:21:51,2024-06-18 17:22:36
A0008,A1,35,2024-06-18 17:23:23,2024-06-18 17:24:07
A0008,A1,36,2024-06-18 17:24:54,2024-06-18 17:25:38
A0008,A1,37,2024-06-18 17:26:24,2024-06-18 17:27:09
A0008,A1,38,2024-06-18 17:27:55,2024-06-18 17:28:40
A0008,A2,1,2024-06-18 16:31:49,2024-06-18 16:32:33
A0008,A2,2,2024-06-18 16:33:20,2024-06-18 16:34:05
A0008,A2,3,2024-06-18 16:34:51,2024-06-18 16:35:36
A0008,A2,4,2024-06-18 16:36:22,2024-06-18 16:37:06
A0008,A2,5,2024-06-18 16:37:53,2024-06-18 16:38:37
A0008,A2,6,2024-06-18 16:39:24,2024-06-18 16:40:08
A0008,A2,7,2024-06-18 16:40:55,2024-06-18 16:41:39
A0008,A2,8,2024-06-18 16:42:26,2024-06-18 16:43:10
A0008,A2,9,2024-06-18 16:43:57,2024-06-18 16:44:42
A0008,A2,10,2024-06-18 16:45:28,2024-06-18 16:46:12
A0008,A2,11,2024-06-18 16:46:59,2024-06-18 16:47:43
A0008,A2,12,2024-06-18 16:48:30,2024-06-18 16:49:14
A0008,A2,13,2024-06-18 16:50:01,2024-06-18 16:50:45
A0008,A2,14,2024-06-18 16:51:32,2024-06-18 16:52:16
A0008,A2,15,2024-06-18 16:53:03,2024-06-18 16:53:47
A0008,A2,16,2024-06-18 16:54:34,2024-06-18 16:55:18
A0008,A2,17,2024-06-18 16:56:05,2024-06-18 16:56:49
A0008,A2,18,2024-06-18 16:57:36,2024-06-18 16:58:20
A0008,A2,19,2024-06-18 16:59:07,2024-06-18 16:59:51
A0008,A2,20,2024-06-18 17:00:38,2024-06-18 17:01:22
A0008,A2,21,2024-06-18 17:02:09,2024-06-18 17:02:53
A0008,A2,22,2024-06-18 17:03:40,2024-06-18 17:04:24
A0008,A2,23,2024-06-18 17:05:11,2024-06-18 17:05:54
A0008,A2,24,2024-06-18 17:06:42,2024-06-18 17:07:26
A0008,A2,25,2024-06-18 17:08:13,2024-06-18 17:08:57
A0008,A2,26,2024-06-18 17:09:44,2024-06-18 17:10:28
A0008,A2,27,2024-06-18 17:11:15,2024-06-18 17:11:59
A0008,A2,28,2024-06-18 17:12:46,2024-06-18 17:13:30
A0008,A2,29,2024-06-18 17:14:17,2024-06-18 17:15:01
A0008,A2,30,2024-06-18 17:15:47,2024-06-18 17:16:32
A0008,A2,31,2024-06-18 17:17:19,2024-06-18 17:18:03
A0008,A2,32,2024-06-18 17:18:50,2024-06-18 17:19:34
A0008,A2,33,2024-06-18 17:20:20,2024-06-18 17:21:04
A0008,A2,34,2024-06-18 17:21:51,2024-06-18 17:22:36
A0008,A2,35,2024-06-18 17:23:23,2024-06-18 17:24:07
A0008,A2,36,2024-06-18 17:24:54,2024-06-18 17:25:38
A0008,A2,37,2024-06-18 17:26:24,2024-06-18 17:27:09
A0008,A2,38,2024-06-18 17:27:55,2024-06-18 17:28:40
A0008,B1,1,2024-06-18 16:31:02,2024-06-18 16:31:50
A0008,B1,2,2024-06-18 16:32:32,2024-06-18 16:33:21
A0008,B1,3,2024-06-18 16:34:03,2024-06-18 16:34:52
A0008,B1,4,2024-06-18 16:35:34,2024-06-18 16:36:23
A0008,B1,5,2024-06-18 16:37:05,2024-06-18 16:37:54
A0008,B1,6,2024-06-18 16:38:36,2024-06-18 16:39:25
A0008,B1,7,2024-06-18 16:40:07,2024-06-18 16:40:56
A0008,B1,8,2024-06-18 16:41:38,2024-06-18 16:42:27
A0008,B1,9,2024-06-18 16:43:09,2024-06-18 16:43:58
A0008,B1,10,2024-06-18 16:44:40,2024-06-18 16:45:29
A0008,B1,11,2024-06-18 16:46:11,2024-06-18 16:47:00
A0008,B1,12,2024-06-18 16:47:42,2024-06-18 16:48:31
A0008,B1,13,2024-06-18 16:49:13,2024-06-18 16:50:02
A0008,B1,14,2024-06-18 16:50:43,2024-06-18 16:51:33
A0008,B1,15,2024-06-18 16:52:15,2024-06-18 16:53:04
A0008,B1,16,2024-06-18 16:53:46,2024-06-18 16:54:35
A0008,B1,17,2024-06-18 16:55:17,2024-06-18 16:56:06
A0008,B1,18,2024-06-18 16:56:48,2024-06-18 16:57:37
A0008,B1,19,2024-06-18 16:58:19,2024-06-18 16:59:08
A0008,B1,20,2024-06-18 16:59:50,2024-06-18 17:00:39
A0008,B1,21,2024-06-18 17:01:21,2024-06-18 17:02:10
A0008,B1,22,2024-06-18 17:02:51,2024-06-18 17:03:41
A0008,B1,23,2024-06-18 17:04:22,2024-06-18 17:05:11
A0008,B1,24,2024-06-18 17:05:54,2024-06-18 17:06:43
A0008,B1,25,2024-06-18 17:07:25,2024-06-18 17:08:13
A0008,B1,26,2024-06-18 17:08:56,2024-06-18 17:09:45
A0008,B1,27,2024-06-18 17:10:27,2024-06-18 17:11:16
A0008,B1,28,2024-06-18 17:11:58,2024-06-18 17:12:47
A0008,B1,29,2024-06-18 17:13:28,2024-06-18 17:14:18
A0008,B1,30,2024-06-18 17:15:00,2024-06-18 17:15:49
A0008,B1,31,2024-06-18 17:16:31,2024-06-18 17:17:19
A0008,B1,32,2024-06-18 17:18:01,2024-06-18 17:18:50
A0008,B1,33,2024-06-18 17:19:32,2024-06-18 17:20:22
A0008,B1,34,2024-06-18 17:21:04,2024-06-18 17:21:52
A0008,B1,35,2024-06-18 17:22:35,2024-06-18 17:23:24
A0008,B1,36,2024-06-18 17:24:05,2024-06-18 17:24:55
A0008,B1,37,2024-06-18 17:25:36,2024-06-18 17:26:25
A0008,B1,38,2024-06-18 17:27:08,2024-06-18 17:27:57
A0008,B2,1,2024-06-18 16:31:02,2024-06-18 16:31:50
A0008,B2,2,2024-06-18 16:32:32,2024-06-18 16:33:21
A0008,B2,3,2024-06-18 16:34:03,2024-06-18 16:34:52
A0008,B2,4,2024-06-18 16:35:34,2024-06-18 16:36:23
A0008,B2,5,2024-06-18 16:37:05,2024-06-18 16:37:54
A0008,B2,6,2024-06-18 16:38:36,2024-06-18 16:39:25
A0008,B2,7,2024-06-18 16:40:07,2024-06-18 16:40:56
A0008,B2,8,2024-06-18 16:41:38,2024-06-18 16:42:27
A0008,B2,9,2024-06-18 16:43:09,2024-06-18 16:43:58
A0008,B2,10,2024-06-18 16:44:40,2024-06-18 16:45:29
A0008,B2,11,2024-06-18 16:46:11,2024-06-18 16:47:00
A0008,B2,12,2024-06-18 16:47:42,2024-06-18 16:48:31
A0008,B2,13,2024-06-18 16:49:13,2024-06-18 16:50:02
A0008,B2,14,2024-06-18 16:50:43,2024-06-18 16:51:33
A0008,B2,15,2024-06-18 16:52:15,2024-06-18 16:53:04
A0008,B2,16,2024-06-18 16:53:46,2024-06-18 16:54:35
A0008,B2,17,2024-06-18 16:55:17,2024-06-18 16:56:06
A0008,B2,18,2024-06-18 16:56:48,2024-06-18 16:57:37
A0008,B2,19,2024-06-18 16:58:19,2024-06-18 16:59:08
A0008,B2,20,2024-06-18 16:59:50,2024-06-18 17:00:39
A0008,B2,21,2024-06-18 17:01:21,2024-06-18 17:02:10
A0008,B2,22,2024-06-18 17:02:51,2024-06-18 17:03:41
A0008,B2,23,2024-06-18 17:04:22,2024-06-18 17:05:11
A0008,B2,24,2024-06-18 17:05:54,2024-06-18 17:06:43
A0008,B2,25,2024-06-18 17:07:25,2024-06-18 17:08:13
A0008,B2,26,2024-06-18 17:08:56,2024-06-18 17:09:45
A0008,B2,27,2024-06-18 17:10:27,2024-06-18 17:11:16
A0008,B2,28,2024-06-18 17:11:58,2024-06-18 17:12:47
A0008,B2,29,2024-06-18 17:13:28,2024-06-18 17:14:18
A0008,B2,30,2024-06-18 17:15:00,2024-06-18 17:15:49
A0008,B2,31,2024-06-18 17:16:31,2024-06-18 17:17:19
A0008,B2,32,2024-06-18 17:18:01,2024-06-18 17:18:50
A0008,B2,33,2024-06-18 17:19:32,2024-06-18 17:20:22
A0008,B2,34,2024-06-18 17:21:04,2024-06-18 17:21:52
A0008,B2,35,2024-06-18 17:22:35,2024-06-18 17:23:24
A0008,B2,36,2024-06-18 17:24:05,2024-06-18 17:24:55
A0008,B2,37,2024-06-18 17:25:36,2024-06-18 17:26:25
A0008,B2,38,2024-06-18 17:27:08,2024-06-18 17:27:57
