road_id,vehicle_id,date,seg_id,direction,time_stamp,end_time
A0003,1187,2024-06-21,0,A1-2,17:11:41,17:11:51
A0003,1218,2024-06-21,0,A1-2,17:10:34,17:11:44
A0003,1261,2024-06-21,0,A1-1,17:06:56,17:07:26
A0003,1283,2024-06-21,0,A1-2,17:28:16,17:29:06
A0003,1302,2024-06-21,0,A1-2,17:06:32,17:07:22
A0003,1317,2024-06-21,0,A1-2,17:19:21,17:20:21
A0003,1331,2024-06-17,0,A1-2,16:47:08,16:47:38
A0003,1335,2024-06-21,0,A1-2,17:28:14,17:28:44
A0003,1368,2024-06-21,0,A1-2,16:53:10,16:54:20
A0003,1374,2024-06-21,0,A1-2,17:04:00,17:05:10
A0003,1393,2024-06-21,0,A1-2,16:44:44,16:45:44
A0003,1419,2024-06-17,3,A1-1,17:09:16,17:09:36
A0003,1421,2024-06-17,0,A1-2,17:23:34,17:24:44
A0003,1450,2024-06-17,0,A1-1,17:10:36,17:11:36
A0003,1638,2024-06-17,0,A1-1,16:42:25,16:43:35
A0003,1689,2024-06-17,0,A1-1,16:53:26,16:54:16
A0003,1699,2024-06-17,0,A1-1,16:49:02,16:50:02
A0003,1742,2024-06-21,0,A1-1,17:12:30,17:13:30
A0003,1808,2024-06-19,1,A1-1,16:58:31,16:58:51
A0003,1821,2024-06-19,0,A1-1,16:43:13,16:43:34
A0003,1987,2024-06-18,0,A1-2,16:55:28,16:56:28
A0003,2000,2024-06-18,0,A1-1,16:38:15,16:39:15
A0003,2006,2024-06-17,0,A1-2,17:17:31,17:17:59
A0003,2122,2024-06-21,0,A1-2,16:47:01,16:47:31
A0003,2123,2024-06-21,0,A1-1,17:00:51,17:01:01
A0003,2223,2024-06-17,0,A1-2,16:44:35,16:45:45
A0003,2227,2024-06-17,0,A1-2,17:10:30,17:11:40
A0003,2238,2024-06-17,0,A1-1,17:09:15,17:09:35
A0003,2607,2024-06-21,0,A1-1,16:40:37,16:41:27
A0003,167,2024-06-20,0,B1-1,17:07:46,17:08:16
A0003,352,2024-06-19,0,B1-1,16:56:48,16:57:48
A0003,1631,2024-06-17,0,B1-1,16:47:50,16:49:10
A0003,8,2024-06-21,0,A2-1,17:28:21,17:28:31
A0003,34,2024-06-19,0,A2-1,16:34:20,16:34:30
A0003,60,2024-06-19,0,A2-1,16:36:15,16:36:35
A0003,105,2024-06-18,0,A2-1,16:59:36,17:00:06
A0003,262,2024-06-19,0,A2-1,17:11:53,17:13:23
A0003,575,2024-06-20,0,A2-1,16:32:01,16:32:11
A0003,789,2024-06-18,0,A2-1,17:12:27,17:13:27
A0003,807,2024-06-18,0,A2-1,17:04:00,17:04:50
A0003,864,2024-06-18,0,A2-1,17:15:23,17:15:33
A0003,955,2024-06-18,0,A2-1,16:46:05,16:47:25
A0003,1239,2024-06-21,0,A2-1,17:09:41,17:11:11
A0003,1443,2024-06-17,0,A2-1,16:32:08,16:32:18
A0003,2103,2024-06-21,0,A2-1,17:08:52,17:09:02
A0003,2410,2024-06-21,0,A2-1,17:12:01,17:13:01
A0003,74,2024-06-19,0,B2-1,16:43:56,16:44:16
A0003,87,2024-06-19,1,B2-1,17:09:38,17:10:28
A0003,248,2024-06-19,0,B2-1,17:04:35,17:05:15
A0003,248,2024-06-19,0,B2-1,17:05:25,17:05:55
A0003,248,2024-06-20,0,B2-1,17:20:49,17:21:09
A0003,269,2024-06-19,0,B2-1,16:55:05,16:55:35
A0003,287,2024-06-20,0,B2-1,16:33:07,16:33:27
A0003,316,2024-06-19,0,B2-1,17:27:14,17:27:44
A0003,449,2024-06-20,0,B2-1,16:37:19,16:37:49
A0003,523,2024-06-20,0,B2-1,16:33:01,16:33:21
A0003,535,2024-06-21,0,B2-1,17:20:53,17:21:13
A0003,720,2024-06-20,0,B2-1,17:09:47,17:10:17
A0003,736,2024-06-20,0,B2-1,16:35:14,16:35:34
A0003,762,2024-06-20,0,B2-1,17:23:12,17:23:22
A0003,786,2024-06-20,0,B2-1,17:10:10,17:10:30
A0003,889,2024-06-18,0,B2-1,16:54:43,16:55:03
A0003,895,2024-06-18,0,B2-1,17:24:03,17:24:43
A0003,895,2024-06-18,0,B2-1,17:25:03,17:25:23
A0003,978,2024-06-18,0,B2-1,17:26:04,17:26:54
A0003,978,2024-06-18,0,B2-1,17:27:04,17:27:34
A0003,984,2024-06-18,0,B2-1,17:27:22,17:27:42
A0003,1012,2024-06-17,0,B2-1,17:24:59,17:25:19
A0003,1038,2024-06-18,0,B2-1,16:46:03,16:46:33
A0003,1168,2024-06-21,0,B2-1,17:03:26,17:03:46
A0003,1240,2024-06-18,0,B2-1,16:55:01,16:55:11
A0003,1240,2024-06-20,0,B2-1,17:27:11,17:27:32
A0003,1264,2024-06-21,2,B2-1,17:01:29,17:01:39
A0003,1339,2024-06-21,0,B2-1,16:45:08,16:45:48
A0003,1339,2024-06-21,0,B2-1,16:45:58,16:46:28
A0003,1460,2024-06-17,2,B2-1,16:37:40,16:37:50
A0003,1568,2024-06-17,0,B2-1,16:58:15,16:58:45
A0003,1632,2024-06-17,0,B2-1,16:35:13,16:35:33
A0003,1641,2024-06-17,0,B2-1,16:54:45,16:55:05
A0003,1754,2024-06-21,0,B2-1,16:51:46,16:52:16
A0003,1759,2024-06-19,0,B2-1,17:07:44,17:08:04
A0008,73,2024-06-19,0,A1-2,17:08:12,17:08:40
A0008,127,2024-06-19,0,A1-1,16:33:38,16:33:58
A0008,138,2024-06-19,0,A1-1,17:13:11,17:13:21
A0008,141,2024-06-19,0,A1-1,17:15:59,17:16:29
A0008,184,2024-06-19,0,A1-2,17:11:20,17:11:48
A0008,184,2024-06-20,0,A1-2,17:10:29,17:10:57
A0008,203,2024-06-21,0,A1-2,17:21:46,17:22:06
A0008,242,2024-06-19,0,A1-2,17:26:14,17:27:04
A0008,265,2024-06-19,0,A1-2,16:55:56,16:56:46
A0008,291,2024-06-19,0,A1-2,16:48:25,16:49:15
A0008,299,2024-06-19,0,A1-2,17:08:15,17:09:05
A0008,310,2024-06-19,0,A1-1,16:30:26,16:31:01
A0008,319,2024-06-19,2,A1-1,17:00:54,17:01:14
A0008,329,2024-06-18,0,A1-2,17:24:32,17:24:52
A0008,341,2024-06-18,0,A1-2,17:11:06,17:11:06
A0008,341,2024-06-20,0,A1-2,17:07:47,17:07:47
A0008,357,2024-06-19,0,A1-2,16:57:33,16:58:13
A0008,364,2024-06-21,0,A1-2,17:12:21,17:13:01
A0008,403,2024-06-19,0,A1-2,17:18:40,17:19:20
A0008,421,2024-06-19,0,A1-2,17:00:38,17:01:08
A0008,478,2024-06-20,2,A1-1,16:35:22,16:36:02
A0008,534,2024-06-20,0,A1-2,16:48:56,16:49:36
A0008,534,2024-06-20,2,A1-1,17:21:09,17:21:29
A0008,733,2024-06-20,1,A1-2,16:59:38,17:00:08
A0008,780,2024-06-18,0,A1-1,17:27:52,17:28:02
A0008,970,2024-06-18,1,A1-1,17:25:42,17:26:22
A0008,1029,2024-06-18,0,A1-1,16:36:11,16:36:21
A0008,1175,2024-06-21,0,A1-2,17:09:28,17:09:56
A0008,1180,2024-06-21,0,A1-2,16:33:18,16:33:48
A0008,1464,2024-06-17,0,A1-1,17:23:40,17:24:10
A0008,1542,2024-06-17,1,A1-2,17:13:06,17:13:46
A0008,1556,2024-06-17,0,A1-1,16:47:23,16:47:53
A0008,1847,2024-06-21,0,A1-2,16:38:53,16:39:23
A0008,1940,2024-06-20,0,A1-2,16:49:08,16:49:38
A0008,1958,2024-06-20,0,A1-2,17:11:48,17:12:18
A0008,2027,2024-06-18,0,A1-2,17:13:36,17:14:21
A0008,2114,2024-06-21,0,A1-1,17:09:50,17:10:00
A0008,2235,2024-06-17,0,A1-2,17:20:51,17:21:21
A0008,10,2024-06-19,0,B1-1,17:22:43,17:23:13
A0008,11,2024-06-19,0,B1-1,16:40:35,16:40:45
A0008,12,2024-06-19,0,B1-1,16:59:55,17:00:25
A0008,26,2024-06-19,0,B1-1,17:18:04,17:18:35
A0008,35,2024-06-19,0,B1-2,16:34:11,16:34:31
A0008,35,2024-06-20,0,B1-2,16:31:49,16:32:09
A0008,45,2024-06-21,2,B1-1,17:23:45,17:24:25
A0008,97,2024-06-19,0,B1-1,17:06:18,17:06:28
A0008,112,2024-06-20,0,B1-2,17:23:34,17:23:54
A0008,186,2024-06-18,0,B1-2,17:25:11,17:25:41
A0008,208,2024-06-19,0,B1-1,17:07:18,17:07:58
A0008,281,2024-06-19,2,B1-1,17:10:50,17:11:00
A0008,388,2024-06-19,0,B1-2,16:56:45,16:57:25
A0008,394,2024-06-21,0,B1-1,16:57:54,16:58:34
A0008,459,2024-06-20,1,B1-1,16:45:24,16:45:44
A0008,592,2024-06-21,0,B1-1,17:16:12,17:16:42
A0008,607,2024-06-20,1,B1-1,17:17:21,17:17:41
A0008,743,2024-06-20,1,B1-1,17:14:11,17:14:41
A0008,750,2024-06-20,1,B1-1,17:09:45,17:10:05
A0008,793,2024-06-18,2,B1-1,17:20:22,17:21:02
A0008,799,2024-06-18,0,B1-1,17:13:24,17:13:34
A0008,799,2024-06-18,1,B1-2,17:26:34,17:27:14
A0008,824,2024-06-18,0,B1-2,17:08:18,17:08:58
A0008,875,2024-06-18,1,B1-2,16:50:34,16:50:44
A0008,1064,2024-06-18,0,B1-1,16:57:48,16:58:18
A0008,1130,2024-06-21,0,B1-2,16:55:05,16:55:35
A0008,1156,2024-06-20,0,B1-1,16:47:18,16:47:18
A0008,1164,2024-06-21,0,B1-2,16:50:23,16:51:03
A0008,1189,2024-06-21,0,B1-2,17:06:00,17:06:10
A0008,1303,2024-06-21,1,B1-2,17:29:10,17:29:40
A0008,1306,2024-06-20,0,B1-1,17:27:45,17:28:15
A0008,1359,2024-06-21,0,B1-2,17:19:28,17:19:48
A0008,1381,2024-06-21,1,B1-1,16:45:47,16:46:27
A0008,1659,2024-06-17,0,B1-1,16:55:59,16:56:19
A0008,1665,2024-06-17,0,B1-2,16:33:03,16:33:33
A0008,1668,2024-06-19,0,B1-2,17:12:14,17:12:34
A0008,1681,2024-06-17,0,B1-1,16:36:01,16:36:31
A0008,1683,2024-06-17,0,B1-2,16:48:16,16:48:46
A0008,1688,2024-06-17,0,B1-1,17:14:21,17:14:31
A0008,1727,2024-06-21,0,B1-1,16:59:53,17:00:03
A0008,1763,2024-06-19,0,B1-1,16:34:10,16:34:40
A0008,1959,2024-06-20,1,B1-2,16:57:54,16:58:04
A0008,1964,2024-06-20,0,B1-2,17:26:18,17:26:48
A0008,2003,2024-06-18,0,B1-1,17:27:02,17:27:12
A0008,2137,2024-06-21,0,B1-1,17:01:21,17:01:41
A0008,2247,2024-06-17,0,B1-1,17:26:01,17:26:31
A0008,2521,2024-06-19,0,B1-1,16:50:57,16:51:17
A0008,24,2024-06-19,0,A2-1,17:12:54,17:13:04
A0008,24,2024-06-20,0,A2-1,17:10:31,17:10:41
A0008,366,2024-06-19,0,A2-1,17:06:45,17:06:55
A0008,387,2024-06-18,0,A2-1,17:15:19,17:15:29
A0008,400,2024-06-19,0,A2-1,16:31:52,16:32:12
A0008,604,2024-06-20,1,A2-1,17:17:57,17:18:07
A0008,949,2024-06-18,1,A2-1,17:22:49,17:22:59
A0008,979,2024-06-18,0,A2-1,17:16:50,17:17:00
A0008,1400,2024-06-21,0,A2-1,16:46:42,16:46:52
A0008,1542,2024-06-17,0,A2-1,17:10:16,17:10:26
A0008,216,2024-06-19,0,A2-2,16:47:11,16:47:21
A0008,278,2024-06-19,0,A2-2,17:12:13,17:12:33
A0008,498,2024-06-20,0,A2-2,16:57:23,16:57:53
A0008,506,2024-06-20,0,A2-2,16:34:45,16:35:15
A0008,506,2024-06-20,0,A2-2,16:35:25,16:35:35
A0008,1107,2024-06-21,0,A2-2,17:29:20,17:29:40
A0008,1160,2024-06-21,0,A2-2,16:51:23,16:51:43
A0008,1232,2024-06-21,0,A2-2,17:19:00,17:19:50
A0008,1300,2024-06-21,0,A2-2,17:07:52,17:08:02
A0008,1669,2024-06-17,0,A2-2,16:42:03,16:42:33
A0008,1700,2024-06-17,0,A2-2,16:53:05,16:53:15
A0008,2327,2024-06-20,0,A2-2,16:31:37,16:32:13
A0008,99,2024-06-19,0,B2-1,16:53:18,16:53:38
A0008,1093,2024-06-21,1,B2-1,17:02:03,17:02:23
A0008,1577,2024-06-17,2,B2-1,17:17:27,17:18:17
A0008,1859,2024-06-19,0,B2-1,17:20:23,17:20:54
A0008,127,2024-06-19,1,B2-2,16:39:41,16:40:01
A0008,413,2024-06-19,2,B2-2,17:03:35,17:04:15
A0008,532,2024-06-20,1,B2-2,16:59:38,17:00:18
A0008,1303,2024-06-21,0,B2-2,17:26:00,17:26:40
A0008,1665,2024-06-17,2,B2-2,16:37:13,16:37:23
